"### Streamflow (AF/month) in McCloud River above Shasta Lake, from 10/1980 to 9/2020",,,,
"### Downloaded by Andrew Hamilton, 10/29/2020, from https://cdec.water.ca.gov/dynamicapp/QueryMonthly?s=MSS&end=2020-9-30&span=479months",,,,
DATE,MON FLO AF,,MON FNF AF,
Oct-80,"18,040",,"47,220",
Nov-80,"18,040",,"47,220",
Dec-80,"27,590",,"71,040",
Jan-81,"36,940",,"80,310",
Feb-81,"49,280",,"97,530",
Mar-81,"79,000",,"139,200",
Apr-81,"33,790",,"89,440",
May-81,"24,630",,"70,850",
Jun-81,"19,310",,"55,230",
Jul-81,"16,920",,"50,810",
Aug-81,"15,920",,"46,300",
Sep-81,"16,150",,"44,370",
Oct-81,"19,750",,"56,510",
Nov-81,"101,500",,"174,320",
Dec-81,"123,600",,"202,450",
Jan-82,"53,100",,"107,270",
Feb-82,"97,580",,"167,880",
Mar-82,"100,200",,"180,580",
Apr-82,"166,300",,"250,070",
May-82,"52,670",,"140,670",
Jun-82,"25,640",,"90,770",
Jul-82,"22,120",,"75,000",
Aug-82,"18,160",,"64,600",
Sep-82,"17,800",,"62,590",
Oct-82,"21,540",,"70,450",
Nov-82,"28,050",,"73,580",
Dec-82,"88,410",,"154,820",
Jan-83,"134,700",,"302,110",
Feb-83,"214,700",,"280,060",
Mar-83,"358,200",,"420,780",
Apr-83,"133,500",,"223,810",
May-83,"118,700",,"198,080",
Jun-83,"56,650",,"129,310",
Jul-83,"27,220",,"105,070",
Aug-83,"22,850",,"90,320",
Sep-83,"20,240",,"80,250",
Oct-83,"20,380",,"79,870",
Nov-83,"51,360",,"130,220",
Dec-83,"147,700",,"237,100",
Jan-84,"52,260",,"131,010",
Feb-84,"40,040",,"111,090",
Mar-84,"74,790",,"162,900",
Apr-84,"32,660",,"113,280",
May-84,"26,240",,"102,500",
Jun-84,"22,930",,"82,360",
Jul-84,"20,830",,"75,690",
Aug-84,"18,810",,"71,140",
Sep-84,"17,800",,"66,900",
Oct-84,"18,980",,"69,540",
Nov-84,"47,480",,"106,990",
Dec-84,"32,880",,"89,700",
Jan-85,"20,960",,"75,130",
Feb-85,"21,080",,"68,420",
Mar-85,"25,520",,"79,910",
Apr-85,"25,620",,"86,230",
May-85,"19,900",,"68,860",
Jun-85,"17,370",,"59,820",
Jul-85,"16,290",,"58,110",
Aug-85,"16,210",,"56,480",
Sep-85,"18,070",,"56,670",
Oct-85,"18,450",,"57,160",
Nov-85,"18,570",,"55,260",
Dec-85,"24,810",,"66,740",
Jan-86,"63,430",,"127,730",
Feb-86,"281,300",,"365,970",
Mar-86,"118,200",,"204,470",
Apr-86,"33,030",,"101,960",
May-86,"27,520",,"87,860",
Jun-86,"21,560",,"70,490",
Jul-86,"18,650",,"64,114",
Aug-86,"16,310",,"59,705",
Sep-86,"18,660",,"58,162",
Oct-86,"18,200",,"58,530",
Nov-86,"17,290",,"55,470",
Dec-86,"18,500",,"58,780",
Jan-87,"24,600",,"67,810",
Feb-87,"40,700",,"87,770",
Mar-87,"73,000",,"148,860",
Apr-87,"24,500",,"74,360",
May-87,"21,000",,"64,540",
Jun-87,"18,000",,"52,800",
Jul-87,"16,800",,"51,840",
Aug-87,"15,300",,"38,578",
Sep-87,"15,800",,"46,496",
Oct-87,"16,800",,"48,403",
Nov-87,"17,500",,"48,058",
Dec-87,"57,500",,"109,873",
Jan-88,"48,700",,"92,238",
Feb-88,"30,300",,"68,579",
