"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Car, truck, or van -- drove alone!!Estimate","North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","North Carolina!!Car, truck, or van -- carpooled!!Estimate","North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","North Carolina!!Public transportation (excluding taxicab)!!Estimate","North Carolina!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","4,263,889","±22,148","3,434,930","±23,683","449,216","±9,843","48,895","±3,694"
"AGE","","","","","","","",""
"    16 to 19 years","3.3%","±0.1","2.8%","±0.1","5.2%","±0.5","5.4%","±1.7"
"    20 to 24 years","9.5%","±0.2","8.9%","±0.2","12.2%","±0.9","14.7%","±2.7"
"    25 to 44 years","44.2%","±0.2","44.1%","±0.3","47.8%","±1.1","47.7%","±4.0"
"    45 to 54 years","22.9%","±0.2","23.3%","±0.2","20.5%","±0.9","19.2%","±2.8"
"    55 to 59 years","9.4%","±0.2","9.7%","±0.2","7.4%","±0.6","7.9%","±2.0"
"    60 years and over","10.8%","±0.2","11.2%","±0.2","6.8%","±0.7","5.1%","±1.4"
"Median age (years)","42.1","±0.2","42.5","±0.2","38.5","±0.5","35.1","±1.5"
"SEX","","","","","","","",""
"    Male","52.4%","±0.2","51.1%","±0.3","57.4%","±1.2","54.3%","±3.6"
"    Female","47.6%","±0.2","48.9%","±0.3","42.6%","±1.2","45.7%","±3.6"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N"
"        White","73.3%","±0.3","74.5%","±0.3","64.7%","±1.3","41.1%","±3.6"
"        Black or African American","19.3%","±0.2","19.0%","±0.3","21.0%","±1.2","48.2%","±3.8"
"        American Indian and Alaska Native","1.0%","±0.1","0.9%","±0.1","1.3%","±0.3","0.1%","±0.1"
"        Asian","2.5%","±0.1","2.3%","±0.1","3.8%","±0.5","8.0%","±2.1"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","2.5%","±0.2","1.9%","±0.2","7.2%","±0.9","1.1%","±0.7"
"    Two or more races","1.4%","±0.1","1.3%","±0.1","2.0%","±0.4","1.1%","±1.0"
"Hispanic or Latino origin (of any race)","8.1%","±0.1","6.4%","±0.2","20.5%","±1.1","12.3%","±3.1"
"White alone, not Hispanic or Latino","68.2%","±0.2","70.4%","±0.3","52.7%","±1.2","31.0%","±3.8"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","89.5%","±0.3","91.4%","±0.3","76.6%","±1.3","78.4%","±3.4"
"    Foreign born","10.5%","±0.3","8.6%","±0.3","23.4%","±1.3","21.6%","±3.4"
"        Naturalized U.S. citizen","3.4%","±0.2","3.3%","±0.2","3.8%","±0.5","5.5%","±1.8"
