"Label (Grouping)","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Male!!Estimate","North Carolina!!Male!!Margin of Error","North Carolina!!Female!!Estimate","North Carolina!!Female!!Margin of Error"
"Workers 16 years and over","4,431,005","±19,374","2,321,679","±13,095","2,109,326","±14,879"
"MEANS OF TRANSPORTATION TO WORK","","","","","",""
"    Car, truck, or van","91.0%","±0.2","90.8%","±0.3","91.3%","±0.3"
"        Drove alone","81.4%","±0.3","80.5%","±0.4","82.3%","±0.4"
"        Carpooled","9.7%","±0.2","10.3%","±0.3","9.0%","±0.3"
"            In 2-person carpool","7.5%","±0.2","7.7%","±0.2","7.2%","±0.3"
"            In 3-person carpool","1.3%","±0.1","1.4%","±0.1","1.1%","±0.1"
"            In 4-or-more person carpool","1.0%","±0.1","1.2%","±0.1","0.7%","±0.1"
"        Workers per car, truck, or van","1.06","±0.01","1.07","±0.01","1.06","±0.01"
"    Public transportation (excluding taxicab)","1.1%","±0.1","1.0%","±0.1","1.3%","±0.1"
"    Walked","1.8%","±0.1","2.1%","±0.2","1.5%","±0.1"
"    Bicycle","0.3%","±0.1","0.4%","±0.1","0.1%","±0.1"
"    Taxicab, motorcycle, or other means","1.0%","±0.1","1.2%","±0.1","0.8%","±0.1"
"    Worked at home","4.7%","±0.2","4.6%","±0.2","4.9%","±0.2"
"PLACE OF WORK","","","","","",""
"    Worked in state of residence","97.5%","±0.1","96.8%","±0.2","98.3%","±0.1"
"        Worked in county of residence","71.9%","±0.3","69.4%","±0.5","74.6%","±0.5"
"        Worked outside county of residence","25.6%","±0.3","27.4%","±0.4","23.7%","±0.5"
"    Worked outside state of residence","2.5%","±0.1","3.2%","±0.2","1.7%","±0.1"
"Living in a place","61.4%","±0.3","60.5%","±0.4","62.4%","±0.5"
"    Worked in place of residence","31.4%","±0.3","29.5%","±0.4","33.4%","±0.4"
"    Worked outside place of residence","30.1%","±0.4","31.0%","±0.5","29.0%","±0.5"
"Not living in a place","38.6%","±0.3","39.5%","±0.4","37.6%","±0.5"
"Living in 12 selected states","N","N","N","N","N","N"
"    Worked in minor civil division of residence","N","N","N","N","N","N"
"    Worked outside minor civil division of residence","N","N","N","N","N","N"
"Not living in 12 selected states","N","N","N","N","N","N"
"Workers 16 years and over who did not work at home","4,221,920","±20,777","2,215,275","±13,281","2,006,645","±15,454"
"    TIME LEAVING HOME TO GO TO WORK","","","","","",""
"        12:00 a.m. to 4:59 a.m.","3.6%","±0.2","4.6%","±0.2","2.6%","±0.2"
"        5:00 a.m. to 5:29 a.m.","3.3%","±0.2","4.3%","±0.3","2.2%","±0.1"
"        5:30 a.m. to 5:59 a.m.","4.4%","±0.2","5.4%","±0.2","3.3%","±0.2"
"        6:00 a.m. to 6:29 a.m.","8.8%","±0.2","10.9%","±0.4","6.6%","±0.3"
"        6:30 a.m. to 6:59 a.m.","10.4%","±0.3","11.1%","±0.4","9.7%","±0.4"
"        7:00 a.m. to 7:29 a.m.","15.8%","±0.3","15.8%","±0.4","15.8%","±0.4"
"        7:30 a.m. to 7:59 a.m.","13.6%","±0.3","11.8%","±0.3","15.6%","±0.4"
"        8:00 a.m. to 8:29 a.m.","10.6%","±0.3","9.4%","±0.3","11.9%","±0.4"
"        8:30 a.m. to 8:59 a.m.","5.2%","±0.2","4.5%","±0.2","6.0%","±0.2"
"        9:00 a.m. to 11:59 p.m.","24.2%","±0.4","22.2%","±0.5","26.3%","±0.6"
"TRAVEL TIME TO WORK","","","","","",""
"    Less than 10 minutes","13.1%","±0.3","12.9%","±0.4","13.2%","±0.4"
"    10 to 14 minutes","15.1%","±0.3","14.2%","±0.4","16.2%","±0.5"
"    15 to 19 minutes","17.2%","±0.3","16.4%","±0.4","18.1%","±0.5"
"    20 to 24 minutes","15.8%","±0.3","15.3%","±0.4","16.4%","±0.5"
"    25 to 29 minutes","7.0%","±0.2","6.6%","±0.3","7.4%","±0.3"
"    30 to 34 minutes","13.0%","±0.3","13.4%","±0.4","12.6%","±0.4"
"    35 to 44 minutes","6.2%","±0.2","6.6%","±0.3","5.7%","±0.2"
"    45 to 59 minutes","6.8%","±0.2","7.6%","±0.3","6.0%","±0.3"
"    60 or more minutes","5.7%","±0.2","7.0%","±0.3","4.3%","±0.3"
"    Mean travel time to work (minutes)","23.9","±0.2","25.2","±0.2","22.4","±0.2"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","4,381,006","±19,206","2,289,377","±12,934","2,091,629","±15,017"
"        No vehicle available","2.4%","±0.1","2.4%","±0.2","2.4%","±0.2"
"        1 vehicle available","20.8%","±0.4","17.8%","±0.5","24.1%","±0.5"
"        2 vehicles available","42.4%","±0.5","43.7%","±0.7","40.9%","±0.5"
"        3 or more vehicles available","34.4%","±0.5","36.1%","±0.6","32.6%","±0.6"
"PERCENT IMPUTED","","","","","",""
"    Means of transportation to work","7.9%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","9.0%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","10.2%","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","15.8%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","11.5%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.1%","(X)","(X)","(X)","(X)","(X)"
