"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.0999047308282","30.3593379104318","30.6696203836197","30.8843534925032","30.4154859336834","29.9814054781457","29.8930247245803","28.7820185642247","28.3986219210349","28.5657929760508","28.4201735973681","28.2256295493901","28.3174216667673","27.874664395449","28.2494142337387","28.5174120681966","28.9520608034232","28.9241160938803","28.9569384002878","29.3805096164531","",
"Afghanistan","AFG","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","15.1","14.9","15","15.2","15.2","15.1","15","15","14.4","14.4","14.2","13.8","14","14.1","14.4","14.8","15.1","14.2","15.9","",
"Africa Western and Central","AFW","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1955496138713","28.3260171879498","28.4295984945208","27.9323906844358","27.5113979094982","27.2211473188838","26.8119796035533","26.4970499723779","26.1492521489058","26.2545895058948","26.2283338065708","24.9994547520418","24.4445383932791","24.4206458903873","24.4353276730937","24.3458512795536","24.4717454861292","24.4527276206219","24.5037335443583","24.5687771233451","",
"Angola","AGO","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1","25.2","25.4","25.3","25.9","26.1","24.6","25.5","25","27.3","25.8","25.4","23.2","22.4","23.2","23.6","24.7","25.5","26","26.1","",
"Albania","ALB","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","14.5","14.5","14.7","14.7","14.9","14.9","14.8","14.5","14.4","14.1","14.3","13.8","13.9","13.6","13.8","13.8","11.4","11","11.7","",
"Andorra","AND","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","","","","","","","",
"Arab World","ARB","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6720718431794","19.4774551294487","19.7719860681423","20.257172723822","20.1470490005752","20.207243305516","20.1759255949048","20.6823841589544","20.9043060171818","20.6751850766466","20.7333291367602","20.2122134747014","19.3883371864214","19.226555320628","20.1039882331589","20.1883984381295","19.9425779912","19.7831086734771","20.1284225327919","20.1706757059733","",
"United Arab Emirates","ARE","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","15.8","22.4","24.2","20.9","18.7","17.2","17.7","18","19","19.4","19.1","17.9","17.6","17.8","18.1","17.9","13.3","11.3","8.9","",
"Argentina","ARG","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","11.6","9.8","9.4","10.6","11.6","13.1","14.1","14.8","13.3","12.8","13.9","13.1","14.3","13.4","13.9","14.1","14","13.6","14.1","",
"Armenia","ARM","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6","19.5","19.1","18.5","18.5","18.3","17.8","17.6","17.3","17.9","18","17.7","17","16.8","16.7","16.7","15.7","16.4","20.4","20","",
"American Samoa","ASM","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","13","2.6","10.1","2.5","0","2.4","7.2","11.2","6.3","5.4","8.8","0.7","1.7","0.6","0","0","0","0","0","",
"Australia","AUS","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","9.3","9.1","8.5","8.2","8.3","8","7.9","7.1","7.1","6.5","5.9","5.8","5.3","5.4","5.2","5.6","5.2","4.8","4.9","",
"Austria","AUT","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5","12.2","12.1","11.7","11","9.6","9.1","8.6","8.4","7.8","6.8","6.4","6.4","5.5","5.1","5.7","5.2","4.9","4.8","4.9","",
"Azerbaijan","AZE","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","10","10.1","14.5","10.7","13.9","13.2","13.7","13.3","11.6","11.4","12.4","14","13.8","13.2","10.3","8.7","8.5","8.1","6.7","",
"Burundi","BDI","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3","30.2","29.3","29.8","29.7","29.9","33.1","33.4","33","33","33.2","33","33.8","33.8","33.6","34.4","34.8","34.9","35.2","35.5","",
"Belgium","BEL","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","15.8","13.9","12","11.4","10.9","10.5","10.8","9.4","9.4","8.1","8.2","7.2","7","6.7","6.7","5.8","5.5","5.4","5.8","",
"Benin","BEN","Mortality caused by road traffic injury (per 100,000 population)","SH.STA.TRAF.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.4","28.5","28.7","28.2","28","28.9","28.1","27.6","27.6","27.9","28.2","28.1","27.4","27","27","27.3","27.5","27","26.9","26.8","",
