"### Downloaded by Andrew Hamilton, Aug 6, 2020, from https://www.ncdc.noaa.gov/cdo-web/datasets/GHCND/stations/GHCND:USC00311677/detail",,,,,,
STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00311677,"CHAPEL HILL 2 W, NC US",1/1/1920,0,0,67,46
USC00311677,"CHAPEL HILL 2 W, NC US",1/2/1920,0,0,60,22
USC00311677,"CHAPEL HILL 2 W, NC US",1/3/1920,0,0,30,12
USC00311677,"CHAPEL HILL 2 W, NC US",1/4/1920,0,0,36,18
USC00311677,"CHAPEL HILL 2 W, NC US",1/5/1920,0,0,34,9
USC00311677,"CHAPEL HILL 2 W, NC US",1/6/1920,0,0,46,10
USC00311677,"CHAPEL HILL 2 W, NC US",1/7/1920,0,0,49,37
USC00311677,"CHAPEL HILL 2 W, NC US",1/8/1920,0.09,0,62,45
USC00311677,"CHAPEL HILL 2 W, NC US",1/9/1920,0,0,66,57
USC00311677,"CHAPEL HILL 2 W, NC US",1/10/1920,0,0,64,32
USC00311677,"CHAPEL HILL 2 W, NC US",1/11/1920,0,0,60,30
USC00311677,"CHAPEL HILL 2 W, NC US",1/12/1920,0,0,61,31
USC00311677,"CHAPEL HILL 2 W, NC US",1/13/1920,0,0,57,27
USC00311677,"CHAPEL HILL 2 W, NC US",1/14/1920,0,0,50,30
USC00311677,"CHAPEL HILL 2 W, NC US",1/15/1920,0,0,55,23
USC00311677,"CHAPEL HILL 2 W, NC US",1/16/1920,0.4,0,45,28
USC00311677,"CHAPEL HILL 2 W, NC US",1/17/1920,0.34,0,37,23
USC00311677,"CHAPEL HILL 2 W, NC US",1/18/1920,0,0,43,21
USC00311677,"CHAPEL HILL 2 W, NC US",1/19/1920,0,0,56,26
USC00311677,"CHAPEL HILL 2 W, NC US",1/20/1920,0,0,55,33
USC00311677,"CHAPEL HILL 2 W, NC US",1/21/1920,0.1,0,70,38
USC00311677,"CHAPEL HILL 2 W, NC US",1/22/1920,0.16,0,65,32
USC00311677,"CHAPEL HILL 2 W, NC US",1/23/1920,0.3,0,67,42
USC00311677,"CHAPEL HILL 2 W, NC US",1/24/1920,1.07,0,67,39
USC00311677,"CHAPEL HILL 2 W, NC US",1/25/1920,0,0,39,35
USC00311677,"CHAPEL HILL 2 W, NC US",1/26/1920,0.56,4,35,28
USC00311677,"CHAPEL HILL 2 W, NC US",1/27/1920,0.4,0,53,26
USC00311677,"CHAPEL HILL 2 W, NC US",1/28/1920,0,0,56,35
USC00311677,"CHAPEL HILL 2 W, NC US",1/29/1920,0,0,53,32
USC00311677,"CHAPEL HILL 2 W, NC US",1/30/1920,0,0,63,26
USC00311677,"CHAPEL HILL 2 W, NC US",1/31/1920,0,0,60,30
USC00311677,"CHAPEL HILL 2 W, NC US",2/1/1920,0,0,32,20
USC00311677,"CHAPEL HILL 2 W, NC US",2/2/1920,0,0,52,30
USC00311677,"CHAPEL HILL 2 W, NC US",2/3/1920,2.45,0,47,28
USC00311677,"CHAPEL HILL 2 W, NC US",2/4/1920,0,0,40,29
USC00311677,"CHAPEL HILL 2 W, NC US",2/5/1920,0,0,37,30
USC00311677,"CHAPEL HILL 2 W, NC US",2/6/1920,0,0,50,31
USC00311677,"CHAPEL HILL 2 W, NC US",2/7/1920,0,0,52,30
USC00311677,"CHAPEL HILL 2 W, NC US",2/8/1920,0,0,49,28
USC00311677,"CHAPEL HILL 2 W, NC US",2/9/1920,0,0,52,27
USC00311677,"CHAPEL HILL 2 W, NC US",2/10/1920,0.03,0,49,29
USC00311677,"CHAPEL HILL 2 W, NC US",2/11/1920,0,0,55,29
USC00311677,"CHAPEL HILL 2 W, NC US",2/12/1920,0.9,0,56,27
USC00311677,"CHAPEL HILL 2 W, NC US",2/13/1920,0.2,0,59,27
USC00311677,"CHAPEL HILL 2 W, NC US",2/14/1920,0,0,63,31
