"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","","",
"Africa Eastern and Southern","AFE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","43.6726786382413","43.6459477102049","43.6811242995533","43.6510315063345","43.622250660504","43.6470956641697","43.6551313419229","43.6894059674419","43.7442617676146","43.8256025056883","43.9516314516755","43.9983695773832","44.0005014918892","44.0142769394662","44.0483055748498","44.0696247199095","44.072986585092","44.1623630009189","44.1280883754","44.1169368225995","44.207215202256","44.2104950707267","44.2455896633633","44.2452616765163","44.4222105805113","44.484856068302","44.5133089272854","44.5607030266872","44.6509814063436","43.5702639252761","42.6992650880714","42.8391036742645","41.4697107836582","41.5920840702446","41.6870704551006","41.7979642020396","41.9600247170888","42.1069970172056","42.3440837035553","42.5168029711673","42.6423437907293","42.7642931543159","42.9973808610327","42.8339308877754","42.9594389209021","43.0774189036743","43.2027337031098","43.4588834284514","43.6521813143596","43.7991904799003","43.1717511968277","43.6219127347057","43.7476818943457","43.8779351605337","43.9371504917177","44.0056868070493","44.0426285348133","44.1179796628605","","",
"Afghanistan","AFG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","57.7459179609717","57.8378212786815","57.914407376773","58.0109058603682","58.0139693042919","58.0721747388414","58.1732683883221","58.174800110284","58.1993076616733","58.2146248812915","58.2605765401464","58.2758937597647","58.2789572036884","58.2789572036884","58.2789572036884","58.2789572036884","58.282020647612","58.282020647612","58.2804889256502","58.2804889256502","58.2866158134975","58.2881475354594","58.2881475354594","58.2881475354594","58.2881475354594","58.2881475354594","58.2743620378029","58.2667034279937","58.2667034279937","58.2667034279937","58.2513862083755","58.2513862083755","58.1043409000398","57.9190025426585","57.8270992249487","57.8255675029869","57.8837729375364","58.0017155285973","57.8270992249487","57.8270992249487","57.8270992249487","57.8270992249487","58.0675795729559","58.0691112949177","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0691112949177","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0675795729559","58.0813650706124","","",
"Africa Western and Central","AFW","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","33.4417547846811","33.5579854486447","33.8140943870501","33.9422267862551","34.2083008164411","33.9373542266801","34.1552133513438","34.2552599988062","34.8735135266587","34.4593724921462","34.2965584784526","33.8291376409649","34.3923338985561","33.8802676931036","33.8355564694255","33.9019962899827","33.4287369358972","33.3086809539918","33.2865711967348","33.6303779220808","33.2546225974985","33.454273705529","33.5829524927646","34.0574278834993","34.3801197906648","35.033684215181","35.0602159238894","35.247485567856","35.3203372180177","35.2376887344154","35.4570376462837","35.6650265648733","35.8987540046298","36.1092584608514","36.6475185113943","36.5230805966981","36.7315946220226","36.7681234785723","36.9806797202674","37.0930787615883","37.4200995381272","37.5450415552888","37.8422218979458","37.8008264627263","38.4805119072098","38.4911085611191","38.6696266104194","38.9614206845623","39.0940941521903","39.2657769700346","39.3496832777273","39.5149605672479","39.7401915589369","39.7651468419528","39.7920533110467","39.8891242214602","39.9306991768537","39.9535451890274","","",
"Angola","AGO","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","45.8570626453838","45.881126173097","45.8971685249058","45.9212320526189","45.9372744044277","45.9613379321409","45.985401459854","46.0094649875672","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0415496911847","46.0447581615465","36.5465926044758","36.671255314029","36.7959180235823","36.9205807331355","37.0452434426887","37.1699061522419","37.2945688617951","37.4192315713484","37.5438942809016","37.6685569904548","38.1137811823213","38.5590053741879","39.0042295660544","39.4494537579209","39.8946779497874","40.339902141654","40.7851263335205","41.230350525387","41.6755747172536","42.1207989091201","42.5660239031042","43.0112488970883","43.4564738910724","43.9016988850565","44.3469238790407","44.7921552899655","45.2373706585385","45.6825940482875","","",
"Albania","ALB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","44.963503649635","44.963503649635","45","44.8905109489051","45.1459854014599","45.2554744525547","45.4014598540146","45.2554744525547","45.0729927007299","44.8905109489051","43.7956204379562","42.8467153284672","41.8248175182482","40.9489051094891","39.4160583941606","39.2335766423358","40.4744525547445","40.6569343065693","40.7664233576642","40.8029197080292","40.7299270072993","40.6569343065693","40.5109489051095","40.6204379562044","40.5839416058394","40.5474452554745","40.5474452554745","40.7664233576642","40.5109489051095","40.9124087591241","41.1313868613139","41.1313868613139","41.0948905109489","41.0948905109489","41.1313868613139","41.2773722627737","41.4233576642336","41.5693430656934","41.7883211678832","41.7518248175182","41.5693430656934","41.6058394160584","40.9124087591241","40.9489051094891","39.3065693430657","40.8759124087591","40.8394160583942","43.1021897810219","43.8430656934307","43.8430656934307","43.8321167883212","43.8430656934307","43.3321167883212","42.857299270073","42.8576642335766","43.1277372262774","42.6708394160584","42.8496715328467","","",
"Andorra","AND","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","55.3191489361702","53.1914893617021","53.1914893617021","51.063829787234","51.063829787234","51.063829787234","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.936170212766","48.4042553191489","48.6170212765957","48.6382978723404","48.531914893617","46.3829787234043","46.3404255319149","44.1914893617021","44.1702127659574","44.1914893617021","42.063829787234","42.063829787234","39.9148936170213","40.0212765957447","40","40.0212765957447","40.0425531914894","40.0425531914894","40.063829787234","","",
"Arab World","ARB","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","27.8356427347687","27.8265643275023","27.8455221779704","27.8479252857762","27.8669721402372","27.8661711043019","27.9185944560659","27.9450286419299","28.0033262572192","28.0704352677965","28.2982854893853","28.3469706734514","28.3318518565987","28.3905056966763","28.3543699469472","28.4292225713861","28.4457773729862","28.4941067131412","28.5074573595928","28.6018019278511","28.2285712556488","28.2525792781412","28.3048604096459","28.7989785153387","29.219563040462","29.6540820803084","30.1431785628492","30.5893571672634","31.0401461949189","31.5346007369023","31.6393766102548","31.7412816651181","32.4381129660268","33.1127181502873","33.7425417858914","34.3851036956215","34.9778232806556","35.7108347690445","36.3291359272288","36.3101513417687","36.3061372545477","36.3690631894762","36.4162046758012","36.4839169894086","36.5400559353585","36.4887763242341","36.4937178975857","36.4125094211388","36.371815794949","36.4255450294104","36.5030029784676","36.5259621648876","36.5742475187272","36.5707938817114","36.583219396639","36.5619663567269","36.5603447510606","36.5635581593379","","",
"United Arab Emirates","ARE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","2.92875246409462","2.92875246409462","2.92875246409462","2.92875246409462","2.94283300478738","2.95691354548015","2.95691354548015","2.95691354548015","2.95691354548015","2.98507462686567","2.98507462686567","2.98507462686567","2.99915516755843","3.0132357082512","3.02731624894396","3.04139678963672","3.05547733032948","3.06955787102225","3.08363841171501","3.13996057448606","3.19628273725711","3.19628273725711","3.26668544072092","3.26668544072092","3.30892706279921","3.3511686848775","3.3511686848775","3.36524922557026","3.36524922557026","4.01295409743734","4.36496761475641","4.77330329484652","4.99859194593072","5.23796113770769","5.39284708532808","5.44916924809913","5.56181357364123","5.60405519571952","7.2655589974655","7.70205575894114","7.91326386933258","7.96958603210363","7.80061954379048","7.80061954379048","7.84286116586877","7.58377921712194","7.49929597296536","7.5978597578147","5.46184173472261","5.52379611377077","5.47029005913827","5.30413967896367","5.34215713883413","5.3858068149817","5.39003097718952","5.40411151788229","5.40411151788229","5.37524640946212","","",
"Argentina","ARG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","50.3633951963869","49.8536553281519","49.2839890524685","48.7073800832392","48.1530608143414","47.8490439180178","47.3941147883027","47.2231052841206","47.2475874139928","47.2395485056766","47.1935074853199","47.1474664649632","47.1014254446064","47.0553844242497","47.009343403893","46.9633023835363","46.9172613631796","46.8712203428229","46.8251793224662","46.7791383021095","46.7330972817528","47.0528265897855","47.0071509743522","46.9607445490721","46.9147035287153","46.8686625083586","46.7495405033087","46.5452791510913","46.5781655942032","46.6128790619325","46.6475925296617","46.682305997391","46.7170194651203","46.7528291476199","46.7882734251961","46.8237177027723","46.8577003606547","46.8924138283839","46.9223770321081","46.9581867146078","46.9932655872605","47.031267699301","47.8254753004542","49.0903244430315","50.3518849412977","51.5600963207378","52.6303673415696","52.7136796641198","52.5423047550143","53.8902835176801","54.1826074564529","54.5381464469852","54.5180491761946","54.3357121193851","54.3357121193851","54.3357121193851","54.3357121193851","54.3605596541808","","",
"Armenia","ARM","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0958904109589","41.4822620302072","42.1496311907271","43.6951176677204","45.8728486125746","46.7860906217071","46.6455918510713","46.4699683877766","46.4699683877766","46.6455918510713","48.8584474885845","50.7200561995083","52.8626624517035","56.3751317175975","61.6930101861609","61.5349490691956","61.4260625219529","61.3382507903056","60.9413417632596","59.6452406041447","59.1148577449947","59.1148577449947","59.0340709518792","58.8935721812434","58.8970846505093","58.872497365648","58.9146469968388","","",
"American Samoa","ASM","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","16","16","16","17.5","20","20","23.5","23.95","24","22.5","22.5","25.2","25","25","25","24","24","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","","",
"Antigua and Barbuda","ATG","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","22.7272727272727","20.4545454545455","22.7272727272727","20.4545454545455","25","25","22.7272727272727","22.7272727272727","25","25","25","15.9090909090909","15.9090909090909","15.9090909090909","15.9090909090909","15.9090909090909","15.9090909090909","15.9090909090909","15.9090909090909","15.9090909090909","15.9090909090909","15.9090909090909","15.9090909090909","18.1818181818182","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","20.4545454545455","","",
