"### Downloaded by Andrew Hamilton, 10/15/2020, from https://ampd.epa.gov/ampd/, Acid Rain Program daa",,,,,,,
State, Year, Quarter, Program(s) Selected, SO2 (tons), NOx (tons), CO2 (short tons), Heat Input (MMBtu)
NC,2017,1,ARP,3088.057,6627.984,11778066.24,143902340
NC,2017,2,ARP,3771.224,7770.051,12594579.74,149515188.3
NC,2017,3,ARP,6054.505,10265.869,17074422.27,200275610.8
NC,2017,4,ARP,3307.317,7532.182,11408654.15,142107926.7
NC,2018,1,ARP,3930.952,8266.694,13621514.75,164982269.3
NC,2018,2,ARP,4102.986,7918.887,13022860.35,158313544.7
NC,2018,3,ARP,4509.305,9884.184,15789924.02,197299116.9
NC,2018,4,ARP,3238.648,6936.604,11195348.1,144126799.7
NC,2019,1,ARP,2882.202,5560.598,10054384.25,130051673.4
NC,2019,2,ARP,3904.038,7110.464,11634271.12,142155366.6
NC,2019,3,ARP,6423.03,10621.15,18001406.85,213696963.5
NC,2019,4,ARP,3225.796,6006.057,11304833.16,141155906.4
NC,2020,1,ARP,1459.158,4000.424,8256933.02,115265577.9
NC,2020,2,ARP,1776.674,4134.725,7988928.463,104147022.9
NC,2020,3,ARP,328.169,947.276,2847248.906,39064603.03
SC,2017,1,ARP,1430.848,2316.677,5981717.505,69671217.42
SC,2017,2,ARP,1589.187,2782.607,7194199.218,85180043.12
SC,2017,3,ARP,1884.193,3074.382,8027519.607,95206427.69
SC,2017,4,ARP,1168.192,1997.859,5863163.751,71756431.26
SC,2018,1,ARP,1397.253,2639.516,6567287.872,77039343.6
SC,2018,2,ARP,1541.422,2702.681,7155037.136,85097984.82
SC,2018,3,ARP,1981.174,3391.579,9677864.331,120903357.4
SC,2018,4,ARP,1844.787,2861.998,7782338.745,94519316.24
SC,2019,1,ARP,1324.075,2078.06,5812201.5,72615607.81
SC,2019,2,ARP,1312.901,2368.039,6468903.235,82338660.79
SC,2019,3,ARP,1946.628,3227.545,8580295.553,107775814.1
SC,2019,4,ARP,1141.771,2212.497,5861556.524,74966473.64
SC,2020,1,ARP,854.734,1711.427,5350005.047,71175857.61
SC,2020,2,ARP,845.245,1541.152,5479232.138,72848235.14
SC,2020,3,ARP,1303.209,2338.74,7233631.771,93944905.6
NC,1997,1,ARP,117535.389,66843.609,17323494.23,168913652.8
NC,1997,2,ARP,118217.745,65660.423,17384643.63,169751143.5
NC,1997,3,ARP,140978.751,74771.57,20796740.65,203614118.3
NC,1997,4,ARP,135226.392,75401.78,20135133.3,196443084
NC,1998,1,ARP,111593.874,58529.208,16155717.78,157503634.7
NC,1998,2,ARP,120825.921,62943.796,18344051.48,180118688.6
NC,1998,3,ARP,149681.796,75307.555,23013194.1,226809107.4
NC,1998,4,ARP,106482.22,51947.306,16109341.9,157104972.7
NC,1999,1,ARP,100579.824,47842.214,15709760.8,153258783.6
NC,1999,2,ARP,115244.854,49948.926,18492869.2,180823933.5
NC,1999,3,ARP,133341.534,57016.046,21569988.23,213060926.4
NC,1999,4,ARP,108776.369,46620.573,17201228.5,167746251.1
NC,2000,1,ARP,115170.407,43145.233,18223213,177723432.3
NC,2000,2,ARP,106791.209,35455.889,16912853.05,166276944.5
NC,2000,3,ARP,118124.739,40791.893,19688988.98,193923224.6
NC,2000,4,ARP,113356.016,41464.594,19231672.37,189051536.5
NC,2001,1,ARP,109123.856,37325.852,17429044.17,170458409
NC,2001,2,ARP,109760.58,34925.151,17165051.61,168689117.3
NC,2001,3,ARP,128959.582,39610.246,20527525.8,203340715.8
NC,2001,4,ARP,102642.522,32477.393,15698283.17,153316923.4
NC,2002,1,ARP,107136.152,35889.489,16599119.82,162489781.6
NC,2002,2,ARP,107889.604,32330.622,16870580.95,167719118.8
NC,2002,3,ARP,137024.735,39176.648,21559685.35,218353807.4
NC,2002,4,ARP,110942.634,38308.942,17836239.97,174548237.4
NC,2003,1,ARP,120999.41,39890.695,19189826.81,188949141
NC,2003,2,ARP,99882.35,26967.044,15621520.13,153188603.3
NC,2003,3,ARP,128679.672,31235.026,20118682.86,201324057.1
NC,2003,4,ARP,112479.321,34570.858,16947834.62,165620726.4
NC,2004,1,ARP,127162.02,41801.419,19982014.18,195989575.2
NC,2004,2,ARP,116448.709,27809.09,18148511.03,180170420.7
NC,2004,3,ARP,121408.784,17404.317,18744081.46,186244037.6
NC,2004,4,ARP,107300.655,30707.479,16005437.92,156897549.7
NC,2005,1,ARP,121276.181,36734.489,18189412.68,179326354.1
NC,2005,2,ARP,112985.069,19111.89,17077161.66,168366322.7
