Month,Day,Year,SALEM_WIND,SALEM_TEMP,LOSANGELES_WIND,LOSANGELES_TEMP,BOISE_WIND,BOISE_TEMP,SF_WIND,SF_TEMP,SEATTLE_WIND,SEATTLE_TEMP
1,1,1970,,1.95,,10.85,,-5.85,,11.65,,3.65
1,2,1970,,-0.85,,11.95,,-3.85,,11.4,,3.9
1,3,1970,,1.65,,10.55,,-3.6,,10,,2.8
1,4,1970,,-0.6,,10,,-5.25,,11.4,,1.35
1,5,1970,,-2.75,,12.2,,-6.95,,11.4,,1.95
1,6,1970,,-1.95,,12.8,,-9.15,,12.2,,3.65
1,7,1970,,2.2,,16.15,,-9.45,,13.9,,5.25
1,8,1970,,1.4,,13.05,,-1.7,,11.95,,4.45
1,9,1970,,2.5,,13.6,,3.35,,13.05,,3.1
1,10,1970,,-0.6,,13.3,,3.6,,13.35,,1.95
1,11,1970,,-0.55,,13.9,,2.5,,14.7,,4.45
1,12,1970,,5.85,,15.55,,3.6,,15.25,,2.2
1,13,1970,,11.1,,14.45,,5.8,,14.7,,6.65
1,14,1970,,9.45,,13.9,,5.55,,15.55,,7.5
1,15,1970,,5.25,,15,,5.55,,16.1,,2.2
1,16,1970,,4.45,,14.75,,5.8,,15.8,,1.7
1,17,1970,,7.2,,15.85,,6.35,,15.85,,4.45
1,18,1970,,10,,13.6,,6.95,,14.2,,9.15
1,19,1970,,11.95,,15,,6.65,,15.85,,9.45
1,20,1970,,11.95,,15.85,,7.8,,16.65,,10
1,21,1970,,12.5,,12.5,,7.8,,14.7,,10.3
1,22,1970,,12.25,,14.7,,7.5,,15,,8.9
1,23,1970,,8.9,,14.75,,10.55,,13.9,,9.15
1,24,1970,,8.9,,14.2,,8.85,,15.55,,6.7
1,25,1970,,7.8,,14.15,,5.85,,15,,5
1,26,1970,,8.9,,13.3,,6.35,,12.5,,4.15
1,27,1970,,5,,13.9,,4.45,,13.9,,3.9
1,28,1970,,4.4,,14.7,,0.8,,14.45,,4.7
1,29,1970,,2.8,,16.1,,1.1,,14.7,,3.9
